category,avg_review
cds_dvds_musicals,4.6428571428571429
fashion_childrens_clothes,4.5000000000000000
books_general_interest,4.4462659380692168
costruction_tools_tools,4.4444444444444444
flowers,4.4193548387096774
books_imported,4.4000000000000000
books_technical,4.3636363636363636
luggage_accessories,4.3152573529411765
food_drink,4.3122743682310469
small_appliances_home_oven_and_coffee,4.3026315789473684
fashion_shoes,4.2383720930232558
fashion_sport,4.2333333333333333
food,4.2181818181818182
music,4.2105263157894737
stationery,4.1954781912765106
cine_photo,4.1944444444444444
pet_shop,4.1843056272586474
computers,4.1750000000000000
home_appliances,4.1664453125000000
perfumery,4.1660792951541850
toys,4.1595640460445751
musical_instruments,4.1513353115727003
small_appliances,4.1485884101040119
cool_stuff,4.1465975544922913
fashion_bags_accessories,4.1452970297029703
